date,open,high,low,close,volume
2007-01-01,1.31908,1.32095,1.3165,1.31914,1597914
2007-01-02,1.31942,1.32951,1.31837,1.32776,2009641
2007-01-03,1.32776,1.32903,1.31487,1.31517,2009035
2007-01-04,1.31525,1.31783,1.30754,1.30914,2013763
2007-01-05,1.30904,1.31029,1.29804,1.30036,2010274
2007-01-06,1.30035,1.30125,1.2994,1.29995,305470
2007-01-08,1.30097,1.30349,1.29722,1.30209,1704122
2007-01-09,1.30212,1.30517,1.29855,1.30059,2001152
2007-01-10,1.3006,1.3009,1.29281,1.29393,2027297
2007-01-11,1.2939,1.30124,1.28836,1.28912,2009255
2007-01-12,1.28935,1.29418,1.28668,1.29133,1997368
2007-01-13,1.29141,1.29245,1.29067,1.29212,298469
2007-01-15,1.29219,1.2955,1.29121,1.29332,1694280
2007-01-16,1.2934,1.29875,1.29069,1.29133,2022592
2007-01-17,1.29128,1.29494,1.28973,1.29394,2003541
2007-01-18,1.29399,1.29756,1.28971,1.29495,1996586
2007-01-19,1.29493,1.29998,1.29129,1.29661,2009415
2007-01-20,1.29672,1.29684,1.29536,1.29536,298021
2007-01-22,1.29592,1.29769,1.29201,1.29425,1699412
2007-01-23,1.29433,1.30423,1.29288,1.301,2005968
2007-01-24,1.30108,1.30357,1.29475,1.29556,1998740
2007-01-25,1.2956,1.30002,1.2948,1.29613,2013562
2007-01-26,1.2961,1.29613,1.28807,1.29077,2003227
2007-01-27,1.29077,1.29187,1.2903,1.29144,298672
2007-01-29,1.29147,1.29655,1.28948,1.29508,1703669
2007-01-30,1.29508,1.298,1.29436,1.29604,2000661
2007-01-31,1.29612,1.30183,1.29239,1.30068,2005864
2007-02-01,1.30065,1.30482,1.29988,1.30239,2006736
2007-02-02,1.30224,1.30615,1.29474,1.29536,2009787
2007-02-03,1.29552,1.29687,1.29497,1.29562,297660
2007-02-05,1.2961,1.29651,1.29126,1.29246,1707911
2007-02-06,1.29268,1.29893,1.29095,1.29794,1989227
2007-02-07,1.29809,1.30232,1.29647,1.30153,2009847
2007-02-08,1.30148,1.30408,1.29759,1.30289,2010532
2007-02-09,1.30307,1.30452,1.29817,1.30061,2019070
2007-02-10,1.30064,1.30128,1.2996,1.30047,298344
2007-02-12,1.2989,1.30359,1.2939,1.29565,1744600
2007-02-13,1.29572,1.30426,1.29498,1.30263,1992717
2007-02-14,1.30263,1.31488,1.30192,1.31202,2006868
2007-02-15,1.31208,1.31716,1.31154,1.3132,2016205
2007-02-16,1.31332,1.31484,1.30958,1.31325,2006753
2007-02-17,1.31328,1.31425,1.31293,1.31356,303178
2007-02-19,1.31364,1.31621,1.31201,1.31541,1728165
2007-02-20,1.3154,1.31881,1.31271,1.31365,2023271
2007-02-21,1.31372,1.31648,1.31116,1.31363,2002418
2007-02-22,1.31358,1.31435,1.30796,1.31261,1996002
2007-02-23,1.31256,1.31863,1.31013,1.31738,2022776
2007-02-24,1.31738,1.31763,1.31561,1.31627,300534
2007-02-26,1.3165,1.31971,1.31491,1.31671,1701799
2007-02-27,1.31676,1.32578,1.31579,1.32368,2001664
2007-02-28,1.3237,1.32556,1.31787,1.32219,1996499
2007-03-01,1.32194,1.32389,1.31547,1.31795,2001546
2007-03-02,1.31784,1.31995,1.31408,1.31955,2000941
2007-03-03,1.31962,1.31998,1.31833,1.31882,301012
2007-03-05,1.31949,1.32101,1.30723,1.30933,1708862
2007-03-06,1.30928,1.31295,1.30782,1.31043,1995384
2007-03-07,1.31064,1.31575,1.31045,1.3156,1998911
2007-03-08,1.31556,1.31844,1.31154,1.31275,2001471
2007-03-09,1.3127,1.31583,1.30864,1.31084,1994881
2007-03-10,1.31085,1.31163,1.31052,1.31118,306636
2007-03-12,1.31236,1.31992,1.31054,1.31861,1762783
2007-03-13,1.31864,1.32186,1.31547,1.31939,1999880
2007-03-14,1.31944,1.3244,1.31764,1.32266,2022309
2007-03-15,1.32274,1.32507,1.31919,1.32312,2009331
2007-03-16,1.32311,1.33381,1.32268,1.33088,1990099
2007-03-17,1.33076,1.33183,1.33029,1.33106,252959
2007-03-19,1.33064,1.33241,1.3278,1.3299,1750857
2007-03-20,1.32992,1.33166,1.32701,1.3306,2565384
2007-03-21,1.33062,1.33837,1.32861,1.33798,2677121
2007-03-22,1.33796,1.34094,1.3309,1.3332,2670731
2007-03-23,1.33314,1.33407,1.32807,1.32875,2681039
2007-03-24,1.32888,1.32907,1.32762,1.32789,336731
2007-03-26,1.32801,1.33455,1.32534,1.33291,754516
2007-03-27,1.3331,1.33622,1.33013,1.3343,622105
2007-03-28,1.33428,1.33716,1.33006,1.33213,617131
2007-03-29,1.33212,1.33517,1.32984,1.33349,630132
2007-03-30,1.33333,1.33985,1.3288,1.3353,908720
2007-03-31,1.3353,1.3359,1.335,1.33535,60865
2007-04-02,1.3371,1.33802,1.33312,1.33632,1001952
2007-04-03,1.33643,1.33802,1.33191,1.333,1077793
2007-04-04,1.33303,1.3381,1.33179,1.33655,1145570
2007-04-05,1.33655,1.3441,1.33525,1.3426,937205
2007-04-06,1.3426,1.3432,1.3364,1.3376,451610
2007-04-07,1.3376,1.3379,1.33675,1.3378,29211
2007-04-09,1.3374,1.33798,1.334,1.33575,389442
2007-04-10,1.33575,1.3456,1.33481,1.34245,1200590
2007-04-11,1.34245,1.3441,1.34065,1.3427,1054709
2007-04-12,1.3427,1.3504,1.3422,1.34795,883422
2007-04-13,1.3481,1.35525,1.34785,1.35385,440141
2007-04-14,1.35385,1.3539,1.35255,1.35255,12947
2007-04-16,1.3554,1.3577,1.35221,1.3549,886177
2007-04-17,1.3549,1.3594,1.35224,1.3565,1082764
2007-04-18,1.3565,1.3616,1.35555,1.3578,1164838
2007-04-19,1.3578,1.362,1.35605,1.3602,912901
2007-04-20,1.3603,1.3637,1.3586,1.35975,1083929
2007-04-21,1.3599,1.3602,1.3586,1.3588,30422
2007-04-23,1.35975,1.3607,1.354,1.35725,671554
2007-04-24,1.35725,1.36355,1.3548,1.3625,1070452
2007-04-25,1.3625,1.3665,1.36215,1.36415,897121
2007-04-26,1.36415,1.3654,1.3584,1.36015,1252103
2007-04-27,1.36015,1.3682,1.3585,1.3642,1006632
