date,open,high,low,close,volume
2007-01-01,233.071,233.197,232.959,233.07,95280
2007-01-02,233.07,234.555,232.845,234.483,120089
2007-01-03,234.488,234.8,232.947,233.071,120015
2007-01-04,233.071,233.203,231.476,231.889,119981
2007-01-05,231.879,231.892,228.457,229.116,121757
2007-01-06,229.118,229.189,228.733,228.778,16931
2007-01-08,228.947,230.04,228.022,229.962,103728
2007-01-09,229.953,231.876,229.893,231.312,119877
2007-01-10,231.34,231.742,230.703,231.152,120862
2007-01-11,231.156,234.808,230.855,234.178,120603
2007-01-12,234.185,235.878,233.869,235.462,120773
2007-01-13,235.473,235.781,235.341,235.679,17089
2007-01-15,235.902,236.973,234.944,236.511,103920
2007-01-16,236.539,237.248,236.269,236.543,120249
2007-01-17,236.55,237.867,236.48,237.814,121077
2007-01-18,237.817,240.005,237.397,239.138,119699
2007-01-19,239.138,239.804,238.947,239.427,119780
2007-01-20,239.417,239.429,239.125,239.239,17097
2007-01-22,239.281,240.587,239.168,240.338,103459
2007-01-23,240.332,241.48,240.202,241.17,118652
2007-01-24,241.173,241.355,237.456,237.853,120370
2007-01-25,237.827,238.669,236.333,238.21,120267
2007-01-26,238.209,239.145,237.539,238.086,119058
2007-01-27,238.086,238.251,237.989,238.092,16521
2007-01-29,238.063,239.136,237.972,238.826,103404
2007-01-30,238.862,240.024,238.277,238.7,119242
2007-01-31,238.686,238.901,236.377,237.112,120560
2007-02-01,237.103,237.757,236.533,237.657,120846
2007-02-02,237.645,238.77,237.286,238.01,118608
2007-02-03,238.013,238.231,237.976,238.1,16673
2007-02-05,238.035,238.165,235.448,235.624,101538
2007-02-06,235.639,237.272,235.357,236.575,120340
2007-02-07,236.58,237.968,236.378,237.804,121416
2007-02-08,237.813,238.842,236.959,237.036,120745
2007-02-09,237.038,237.86,236.244,237.209,120098
2007-02-10,237.229,237.366,237.105,237.181,17245
2007-02-12,237.215,238.596,236.647,237.072,103442
2007-02-13,237.067,237.503,235.406,235.692,119715
2007-02-14,235.675,237.183,235.605,236.84,121243
2007-02-15,236.849,237.085,233.07,233.218,121245
2007-02-16,233.212,233.452,232.136,232.646,119766
2007-02-17,232.655,232.839,232.43,232.839,16446
2007-02-19,232.857,233.811,232.146,233.469,101986
2007-02-20,233.434,235.125,233.136,234.538,119732
2007-02-21,234.537,236.361,233.804,236.316,120694
2007-02-22,236.319,237.986,235.686,237.787,119301
2007-02-23,237.79,238.136,237.357,237.69,119682
2007-02-24,237.691,237.739,237.43,237.69,16819
2007-02-26,237.657,237.817,236.263,236.655,103145
2007-02-27,236.656,237.043,232.899,232.94,119441
2007-02-28,232.953,232.997,230.709,232.321,119499
2007-03-01,232.326,233.483,229.442,230.343,120199
2007-03-02,230.362,230.612,226.556,226.761,119729
2007-03-03,226.774,227.178,226.694,226.951,16738
2007-03-05,226.876,226.92,221.27,222.718,102901
2007-03-06,222.727,224.873,221.059,224.58,120640
2007-03-07,224.589,226.193,223.933,224.915,119627
2007-03-08,224.899,226.851,222.839,226.363,121459
2007-03-09,226.39,228.723,225.663,228.504,119595
2007-03-10,228.498,228.583,228.071,228.555,16854
2007-03-12,228.903,229.633,225.856,227.172,107301
2007-03-13,227.171,227.555,224.731,224.899,119118
2007-03-14,224.887,226.103,222.622,225.836,121676
2007-03-15,225.835,228.009,225.825,227.749,120892
2007-03-16,227.758,227.84,226.382,226.669,119938
2007-03-17,226.682,226.797,226.343,226.626,14353
2007-03-19,225.962,229.096,225.344,228.587,110691
2007-03-20,228.596,230.734,228.113,229.849,115645
2007-03-21,229.853,231.254,229.8,231.254,114789
2007-03-22,231.237,232.188,230.646,232.107,118200
2007-03-23,232.142,232.315,230.534,231.518,114358
2007-03-24,231.519,231.721,231.432,231.66,4876
2007-03-26,231.598,232.699,230.786,232.49,110731
2007-03-27,232.494,232.969,231.258,231.815,114778
2007-03-28,231.816,231.878,228.765,229.246,114316
2007-03-29,229.262,231.729,229.091,231.447,114982
2007-03-30,231.443,231.906,230.573,231.78,158280
2007-03-31,231.78,232.0,231.66,231.84,12285
2007-04-02,231.37,233.1,231.155,233.01,351308
2007-04-03,233.01,235.11,232.816,234.73,351642
2007-04-04,234.73,234.935,234.06,234.265,223183
2007-04-05,234.27,234.8,233.525,233.7,210615
2007-04-06,233.69,234.6,233.57,234.53,108052
2007-04-07,234.505,234.578,234.259,234.345,5895
2007-04-09,234.355,234.54,233.75,233.92,84757
2007-04-10,233.92,235.36,233.65,234.85,196908
2007-04-11,234.85,236.285,234.6,235.6,254548
2007-04-12,235.61,236.11,235.16,235.51,246291
2007-04-13,235.5,236.98,234.75,236.76,200882
2007-04-14,236.75,236.84,236.56,236.78,6428
2007-04-16,236.945,238.59,236.405,238.37,228909
2007-04-17,238.37,239.415,237.16,238.63,401098
2007-04-18,238.64,238.95,236.78,237.88,405188
2007-04-19,237.89,238.4,235.22,236.945,429328
2007-04-20,236.95,238.33,236.864,237.88,319919
2007-04-21,237.88,238.0,237.572,237.61,11054
2007-04-23,237.531,238.34,236.31,237.31,298145
2007-04-24,237.32,238.01,235.97,237.32,365265
2007-04-25,237.32,237.99,236.89,237.63,334959
2007-04-26,237.62,238.745,237.25,238.18,376041
2007-04-27,238.16,239.4,237.32,238.91,382632
2007-04-28,238.91,238.98,238.69,238.98,17289
2007-04-30,238.622,239.05,237.751,238.99,341811
2007-05-01,238.99,239.77,238.575,239.34,466014
2007-05-02,239.35,239.595,238.425,238.98,735192
2007-05-03,238.98,239.56,238.83,239.37,517969
2007-05-04,239.37,239.593,238.76,239.38,403451
2007-05-05,239.38,239.54,239.29,239.38,14638
2007-05-07,239.42,239.61,239.12,239.32,244978
2007-05-08,239.32,239.42,238.18,238.54,671887
2007-05-09,238.54,239.49,238.04,239.37,825339
2007-05-10,239.39,239.765,237.13,237.52,907347
2007-05-11,237.53,238.445,236.42,238.15,910600
2007-05-12,238.15,238.23,238.017,238.12,25307
2007-05-14,238.38,238.68,237.94,237.945,640192
2007-05-15,237.96,239.02,237.73,238.73,882910
2007-05-16,238.73,239.4,238.56,238.81,793476
2007-05-17,238.82,239.61,238.6,239.43,683242
2007-05-18,239.43,239.89,237.8,239.21,800826
2007-05-19,239.21,239.27,239.045,239.16,16574
2007-05-21,239.11,239.59,238.89,239.3,569286
2007-05-22,239.3,240.19,239.1,240.055,819729
2007-05-23,240.055,241.86,239.864,241.62,1007757
2007-05-24,241.62,241.745,240.72,241.06,764952
2007-05-25,241.07,241.68,239.67,241.54,369032
2007-05-26,241.54,241.79,241.445,241.53,21203
2007-05-28,241.45,241.65,241.127,241.33,259679
2007-05-29,241.36,241.52,240.51,240.66,883061
2007-05-30,240.65,241.13,239.75,240.19,936179
2007-05-31,240.17,241.18,239.885,240.9,870114
2007-06-01,240.9,242.01,240.85,241.89,815281
2007-06-02,241.89,242.06,241.827,242.01,8431
2007-06-04,242.07,242.65,241.64,242.45,652394
2007-06-05,242.45,242.98,241.53,241.68,838746
2007-06-06,241.68,242.26,240.91,241.15,868274
2007-06-07,241.15,242.12,238.91,239.42,892496
2007-06-08,239.42,240.14,237.66,239.34,1153944
2007-06-09,239.345,239.855,239.23,239.77,37110
2007-06-11,239.78,239.96,238.94,239.82,613993
2007-06-12,239.82,240.85,239.525,240.65,803767
2007-06-13,240.65,242.07,239.73,241.94,888609
2007-06-14,241.94,242.37,241.7,242.17,655996
2007-06-15,242.17,244.36,241.99,243.8,592862
2007-06-16,243.81,243.95,243.68,243.91,16784
2007-06-18,244.0,245.24,243.73,245.16,650262
2007-06-19,245.16,245.54,245.06,245.35,763592
2007-06-20,245.34,246.62,244.69,246.46,713672
2007-06-21,246.48,246.57,245.845,246.36,735353
2007-06-22,246.36,247.94,246.33,247.61,736767
2007-06-23,247.61,247.7,247.35,247.67,21336
2007-06-25,247.39,247.8,246.47,247.07,699869
2007-06-26,247.07,247.145,245.22,246.39,878138
2007-06-27,246.39,246.61,243.98,244.57,976711
2007-06-28,244.57,246.76,244.56,246.49,908780
2007-06-29,246.49,247.81,246.33,247.23,940128
2007-06-30,247.23,247.44,246.86,247.39,39780
2007-07-02,247.38,247.61,246.03,246.65,790946
2007-07-03,246.65,247.615,246.25,246.84,662532
2007-07-04,246.84,247.35,246.57,247.24,457256
2007-07-05,247.222,247.62,246.55,247.24,728688
2007-07-06,247.24,248.11,247.03,248.06,613589
2007-07-07,248.055,248.185,247.91,247.98,19049
2007-07-09,247.999,248.78,247.999,248.53,469577
2007-07-10,248.53,248.76,246.9,247.29,857071
2007-07-11,247.28,248.51,245.06,248.13,967437
2007-07-12,248.13,248.95,247.69,248.49,820417
2007-07-13,248.49,248.93,248.1,248.14,742154
2007-07-14,248.14,248.19,247.96,247.99,19358
2007-07-16,248.13,248.65,247.57,248.14,473935
2007-07-17,248.14,250.47,248.01,250.4,598047
2007-07-18,250.39,250.525,249.6,250.27,853540
2007-07-19,250.27,250.44,249.72,250.07,525361
2007-07-20,250.07,251.1,248.61,249.12,604469
2007-07-21,249.11,249.41,249.02,249.33,25625
2007-07-23,249.95,250.09,248.53,249.69,533145
2007-07-24,249.69,249.69,248.41,248.45,773523
2007-07-25,248.44,248.53,246.28,247.19,944920
2007-07-26,247.19,247.74,242.8,243.05,904304
2007-07-27,243.05,244.36,240.09,240.76,1034828
2007-07-28,240.76,240.98,239.73,240.01,33376
2007-07-30,239.6,241.42,238.28,240.28,792836
2007-07-31,240.28,242.94,240.19,241.69,774504
2007-08-01,241.71,241.91,237.62,240.4,1104819
2007-08-02,240.4,243.12,239.89,242.41,754913
2007-08-03,242.42,242.94,241.13,242.09,346954
2007-08-04,242.1,242.135,240.6,240.81,43483
2007-08-06,240.43,240.72,238.92,240.38,644693
2007-08-07,240.38,241.82,238.58,240.2,747426
2007-08-08,240.23,244.08,239.84,243.75,780162
2007-08-09,243.73,244.04,239.02,239.36,776539
2007-08-10,239.33,240.51,236.3,239.31,904129
2007-08-11,239.31,239.895,239.07,239.47,41943
2007-08-13,238.95,239.7,236.465,238.33,725243
2007-08-14,238.33,238.38,234.95,235.28,916849
2007-08-15,235.28,235.83,231.7,233.08,895096
2007-08-16,233.08,233.25,221.48,223.84,1364076
2007-08-17,223.84,228.98,219.3,225.66,1032769
2007-08-18,225.66,226.94,225.53,226.5,44041
2007-08-20,226.13,229.57,224.82,228.31,1013403
2007-08-21,228.31,229.09,225.34,226.8,967471
2007-08-22,226.8,229.69,225.7,229.12,1024696
2007-08-23,229.12,234.89,228.944,232.11,1181331
2007-08-24,232.11,233.98,230.85,233.94,1001955
2007-08-25,233.94,234.585,233.81,234.46,40512
2007-08-27,234.414,235.52,233.34,233.75,541274
2007-08-28,233.75,233.87,229.78,229.95,971077
2007-08-29,229.97,233.3,227.42,232.79,1279731
2007-08-30,232.78,234.53,231.21,232.97,943665
2007-08-31,232.97,235.5,232.73,233.49,928780
2007-09-01,233.5,233.95,233.37,233.47,24194
2007-09-03,233.402,234.56,233.03,234.06,337280
2007-09-04,234.07,234.19,231.94,234.07,802536
2007-09-05,234.07,234.82,231.89,232.59,832327
2007-09-06,232.58,233.95,231.88,233.21,762497
2007-09-07,233.21,234.13,229.13,229.79,825785
2007-09-08,229.79,230.38,229.73,229.97,41241
2007-09-10,229.618,231.5,228.22,230.24,459899
2007-09-11,230.24,232.35,229.58,232.195,819435
2007-09-12,232.195,232.525,231.04,231.96,885253
2007-09-13,231.96,234.775,231.405,234.185,725441
2007-09-14,234.19,234.4,230.195,231.42,777948
2007-09-15,231.42,231.845,231.21,231.54,36557
2007-09-17,231.276,231.7,228.82,229.57,582634
2007-09-18,229.56,233.2,228.2,232.985,490152
2007-09-19,232.97,234.25,231.115,232.42,622635
2007-09-20,232.42,232.48,229.465,229.96,410353
2007-09-21,229.96,233.69,229.65,233.07,398911
2007-09-22,233.065,233.42,232.935,233.29,12393
2007-09-24,233.192,233.56,231.97,232.21,246643
2007-09-25,232.22,232.4,229.75,231.115,327315
2007-09-26,231.12,233.265,230.95,232.63,288223
2007-09-27,232.63,234.51,232.43,234.31,333067
2007-09-28,234.32,234.86,232.39,234.68,466028
2007-09-29,234.68,235.27,234.5,234.98,32893
2007-10-01,234.68,237.08,234.67,236.61,398532
2007-10-02,236.62,236.79,234.84,236.45,370141
2007-10-03,236.43,237.85,235.86,237.11,456685
2007-10-04,237.12,237.855,236.165,237.39,283505
2007-10-05,237.38,238.87,236.69,238.63,380952
2007-10-06,238.63,238.99,238.6,238.84,12478
2007-10-08,238.828,239.725,238.57,238.805,174147
2007-10-09,238.805,239.38,236.99,238.46,273993
2007-10-10,238.46,240.37,238.46,239.34,398246
2007-10-11,239.33,239.89,238.4,238.42,337328
2007-10-12,238.42,239.325,237.39,239.165,323087
2007-10-13,239.165,239.47,239.015,239.41,19482
2007-10-15,239.235,240.685,238.83,239.35,446028
2007-10-16,239.35,240.015,236.645,237.075,527680
2007-10-17,237.075,238.8,235.855,237.205,617650
2007-10-18,237.205,238.23,236.155,236.455,531673
2007-10-19,236.465,237.005,234.835,235.325,582303
2007-10-20,235.325,235.325,234.795,234.915,45022
2007-10-22,234.37,234.47,230.29,231.475,562388
2007-10-23,231.475,235.635,231.355,235.175,427362
2007-10-24,235.165,235.825,232.82,233.865,445298
2007-10-25,233.865,235.125,233.015,233.975,492281
2007-10-26,233.975,235.375,233.61,234.375,393784
2007-10-27,234.375,234.685,234.105,234.195,24592
2007-10-29,234.536,236.795,234.145,236.27,315528
2007-10-30,236.27,237.715,235.245,237.395,366664
2007-10-31,237.375,240.19,236.85,240.08,443822
2007-11-01,240.095,241.375,237.935,239.445,480901
2007-11-02,239.455,240.315,237.64,239.565,697218
2007-11-03,239.565,240.15,239.545,239.935,91701
2007-11-05,239.717,239.816,237.115,237.67,411248
2007-11-06,237.67,239.61,237.545,238.785,501245
2007-11-07,238.78,239.675,237.035,237.645,723519
2007-11-08,237.645,238.855,235.165,237.285,635454
2007-11-09,237.285,238.055,231.15,231.645,1298836
2007-11-10,231.635,232.42,231.023,231.249,119349
2007-11-12,229.938,231.025,225.1,226.39,611496
2007-11-13,226.39,229.01,224.14,228.615,587822
2007-11-14,228.615,232.425,228.565,229.05,659514
2007-11-15,229.05,229.76,225.555,226.285,477871
2007-11-16,226.285,228.375,223.935,227.275,540234
2007-11-17,227.275,228.2,226.88,228.166,34445
2007-11-19,227.698,228.345,224.66,224.69,353995
2007-11-20,224.69,228.32,224.29,226.78,563745
2007-11-21,226.78,227.51,222.435,223.755,516443
2007-11-22,223.76,225.635,223.23,223.51,323924
2007-11-23,223.51,224.765,221.29,222.775,315295
2007-11-24,222.775,223.4,222.66,223.306,20823
2007-11-26,223.288,224.825,223.01,223.655,491932
2007-11-27,223.655,225.6,221.895,224.65,454484
2007-11-28,224.655,228.855,223.68,228.805,515646
2007-11-29,228.805,229.3,225.73,226.205,554940
2007-11-30,226.215,229.335,226.095,228.225,525538
2007-12-01,228.23,228.832,227.895,228.665,48115
2007-12-03,228.07,228.485,226.535,227.875,480993
2007-12-04,227.885,228.39,225.57,226.08,515919
2007-12-05,226.08,227.4,223.695,224.31,550091
2007-12-06,224.31,225.765,223.795,225.485,526949
2007-12-07,225.485,227.045,224.835,226.865,432145
2007-12-08,226.865,227.065,226.563,226.65,30187
2007-12-10,226.185,228.85,226.11,228.34,1170053
2007-12-11,228.345,229.835,227.5,227.955,2324572
2007-12-12,227.955,230.345,224.785,229.865,1505024
2007-12-13,229.855,230.025,227.455,228.57,483541
2007-12-14,228.575,230.045,228.28,228.64,389637
2007-12-15,228.64,228.88,228.331,228.438,151413
2007-12-17,228.58,229.125,227.385,228.505,361853
2007-12-18,228.505,229.055,227.73,227.96,1081025
2007-12-19,227.965,228.575,225.97,226.08,1995830
2007-12-20,226.07,226.65,223.555,223.975,1241511
2007-12-21,223.975,226.335,223.78,226.285,1399974
2007-12-22,226.285,226.46,225.948,226.112,108561
2007-12-24,226.307,226.45,225.635,225.883,633937
2007-12-25,225.947,226.47,224.893,225.606,988087
2007-12-26,225.603,226.58,225.406,226.54,993809
2007-12-27,226.54,228.375,226.235,226.915,1502733
2007-12-28,226.92,227.615,224.315,224.885,1168559
2007-12-29,224.885,224.91,224.02,224.039,165847
2007-12-31,224.44,224.89,221.228,221.612,1040573
2008-01-01,221.518,221.945,220.828,221.628,166484
2008-01-02,221.614,222.72,216.405,216.71,1146926
2008-01-03,216.71,217.615,213.585,215.865,1289782
2008-01-04,215.865,216.825,213.465,214.18,976358
2008-01-05,214.165,214.417,213.74,214.22,138292
