,mopen,mhigh,mlow,mclose,mvolume,hopen,hhigh,hlow,hclose,hvolume,dopen,dhigh,dlow,dclose,dvolume,ema_20_1h_c,atr_14_1h,ematrTopBuy,ematrBottomBuy,ematrTopSell,ematrBottomSell,leaveBuyZone,leaveSellZone
2021-03-18 09:00:00,1.1959,1.19619,1.1959,1.19606,196.0,1.1959,1.19639,1.19552,1.19613,3162.0,,,,,,,,,,,,,
2021-03-18 09:05:00,1.19605,1.19618,1.196,1.19607,199.0,,,,,,,,,,,,,,,,,,
2021-03-18 09:10:00,1.19605,1.19608,1.19556,1.19569,606.0,,,,,,,,,,,,,,,,,,
2021-03-18 09:15:00,1.1957,1.19577,1.19552,1.19566,489.0,,,,,,,,,,,,,,,,,,
2021-03-18 09:20:00,1.19565,1.19571,1.19556,1.19561,228.0,,,,,,,,,,,,,,,,,,
2021-03-18 09:25:00,1.19561,1.19578,1.19561,1.19569,194.0,,,,,,,,,,,,,,,,,,
2021-03-18 09:30:00,1.19567,1.19583,1.19562,1.19575,208.0,,,,,,,,,,,,,,,,,,
2021-03-18 09:35:00,1.19577,1.19602,1.19575,1.19601,229.0,,,,,,,,,,,,,,,,,,
2021-03-18 09:40:00,1.19603,1.19617,1.19601,1.19603,191.0,,,,,,,,,,,,,,,,,,
2021-03-18 09:45:00,1.19603,1.1961,1.19599,1.19608,162.0,,,,,,,,,,,,,,,,,,
2021-03-18 09:50:00,1.19609,1.19639,1.19609,1.1963,207.0,,,,,,,,,,,,,,,,,,
2021-03-18 09:55:00,1.19629,1.19634,1.19595,1.19613,253.0,,,,,,,,,,,,,,,,,,
2021-03-18 10:00:00,1.19613,1.19617,1.196,1.19613,189.0,1.19613,1.19685,1.19587,1.19646,3988.0,,,,,,,,,,,,,
2021-03-18 10:05:00,1.19615,1.1962,1.19599,1.196,193.0,,,,,,,,,,,,,,,,,,
2021-03-18 10:10:00,1.196,1.1963,1.19587,1.19621,381.0,,,,,,,,,,,,,,,,,,
2021-03-18 10:15:00,1.19622,1.19646,1.1962,1.19641,190.0,,,,,,,,,,,,,,,,,,
2021-03-18 10:20:00,1.1964,1.19654,1.1963,1.1965,274.0,,,,,,,,,,,,,,,,,,
2021-03-18 10:25:00,1.19649,1.19657,1.19638,1.19645,289.0,,,,,,,,,,,,,,,,,,
2021-03-18 10:30:00,1.19646,1.19667,1.19629,1.19655,419.0,,,,,,,,,,,,,,,,,,
2021-03-18 10:35:00,1.19654,1.19685,1.1965,1.19676,349.0,,,,,,,,,,,,,,,,,,
2021-03-18 10:40:00,1.19676,1.19682,1.19641,1.19641,395.0,,,,,,,,,,,,,,,,,,
2021-03-18 10:45:00,1.19641,1.19662,1.19641,1.19661,519.0,,,,,,,,,,,,,,,,,,
2021-03-18 10:50:00,1.19662,1.19671,1.19652,1.19657,264.0,,,,,,,,,,,,,,,,,,
2021-03-18 10:55:00,1.19658,1.19673,1.19638,1.19646,526.0,,,,,,,,,,,,,,,,,,
2021-03-18 11:00:00,1.19647,1.19683,1.19647,1.19669,480.0,1.19647,1.19797,1.19647,1.19793,3940.0,,,,,,,,,,,,False,False
2021-03-18 11:05:00,1.19668,1.19673,1.19657,1.19663,407.0,,,,,,,,,,,,,,,,,False,False
2021-03-18 11:10:00,1.19664,1.19676,1.1966,1.19676,331.0,,,,,,,,,,,,,,,,,False,False
2021-03-18 11:15:00,1.19675,1.19687,1.1966,1.19687,235.0,,,,,,,,,,,,,,,,,False,False
2021-03-18 11:20:00,1.19687,1.19702,1.19682,1.19702,193.0,,,,,,,,,,,,,,,,,False,False
2021-03-18 11:25:00,1.19701,1.19724,1.19696,1.19706,442.0,,,,,,,,,,,,,,,,,False,False
2021-03-18 11:30:00,1.19707,1.19733,1.19701,1.19714,399.0,,,,,,,,,,,,,,,,,False,False
2021-03-18 11:35:00,1.19713,1.19741,1.19711,1.19733,137.0,,,,,,,,,,,,,,,,,False,False
2021-03-18 11:40:00,1.19732,1.19767,1.1973,1.19762,272.0,,,,,,,,,,,,,,,,,False,False
2021-03-18 11:45:00,1.19762,1.19788,1.19762,1.19778,351.0,,,,,,,,,,,,,,,,,False,False
2021-03-18 11:50:00,1.19779,1.19791,1.19772,1.1979,379.0,,,,,,,,,,,,,,,,,False,False
2021-03-18 11:55:00,1.19789,1.19797,1.19767,1.19793,314.0,,,,,,,,,,,,,,,,,False,False
2021-03-18 12:00:00,1.19793,1.19858,1.19768,1.19844,581.0,1.19793,1.19888,1.19427,1.19472,14370.0,,,,,,,,,,,,False,False
2021-03-18 12:05:00,1.19845,1.19863,1.19808,1.19859,751.0,,,,,,,,,,,,,,,,,False,False
2021-03-18 12:10:00,1.1986,1.19888,1.19859,1.1986,451.0,,,,,,,,,,,,,,,,,False,False
2021-03-18 12:15:00,1.19861,1.19867,1.19829,1.1984,766.0,,,,,,,,,,,,,,,,,False,False
2021-03-18 12:20:00,1.19841,1.19851,1.19688,1.19688,1904.0,,,,,,,,,,,,,,,,,False,False
2021-03-18 12:25:00,1.19687,1.19701,1.19637,1.19638,1445.0,,,,,,,,,,,,,,,,,False,False
2021-03-18 12:30:00,1.19639,1.1965,1.19576,1.1961,1480.0,,,,,,,,,,,,,,,,,False,False
2021-03-18 12:35:00,1.19609,1.19633,1.19535,1.19575,1289.0,,,,,,,,,,,,,,,,,False,False
2021-03-18 12:40:00,1.19574,1.19584,1.19459,1.19466,1767.0,,,,,,,,,,,,,,,,,False,False
2021-03-18 12:45:00,1.19466,1.19495,1.19427,1.1944,1720.0,,,,,,,,,,,,,,,,,False,False
2021-03-18 12:50:00,1.19441,1.19492,1.1943,1.19457,1075.0,,,,,,,,,,,,,,,,,False,False
2021-03-18 12:55:00,1.19456,1.19492,1.19447,1.19472,1141.0,,,,,,,,,,,,,,,,,False,False
2021-03-18 13:00:00,1.19473,1.19528,1.19448,1.19516,1141.0,1.19473,1.19555,1.19349,1.19473,11855.0,,,,,,,,,,,,False,False
2021-03-18 13:05:00,1.19517,1.19547,1.19506,1.19509,1055.0,,,,,,,,,,,,,,,,,False,False
2021-03-18 13:10:00,1.19507,1.19525,1.19494,1.19516,736.0,,,,,,,,,,,,,,,,,False,False
2021-03-18 13:15:00,1.19514,1.19514,1.19484,1.19504,792.0,,,,,,,,,,,,,,,,,False,False
2021-03-18 13:20:00,1.19503,1.19532,1.1949,1.19517,832.0,,,,,,,,,,,,,,,,,False,False
2021-03-18 13:25:00,1.19517,1.19546,1.19509,1.19528,669.0,,,,,,,,,,,,,,,,,False,False
2021-03-18 13:30:00,1.19527,1.19555,1.19516,1.19532,822.0,,,,,,,,,,,,,,,,,False,False
2021-03-18 13:35:00,1.19532,1.19542,1.19475,1.19528,767.0,,,,,,,,,,,,,,,,,False,False
2021-03-18 13:40:00,1.19528,1.19534,1.1944,1.1944,1146.0,,,,,,,,,,,,,,,,,False,False
2021-03-18 13:45:00,1.19441,1.19453,1.19377,1.19397,1463.0,,,,,,,,,,,,,,,,,False,False
