,mopen,mhigh,mlow,mclose,mvolume,hopen,hhigh,hlow,hclose,hvolume,dopen,dhigh,dlow,dclose,dvolume,ema_20_1h_c,atr_14_1h,ematrTopBuy,ematrBottomBuy,ematrTopSell,ematrBottomSell,leaveBuyZone,leaveSellZone
2021-03-17 16:35:00,151.764,151.814,151.758,151.767,551.0,,,,,,,,,,,,,,,,,,
2021-03-17 16:40:00,151.77,151.84,151.744,151.813,686.0,,,,,,,,,,,,,,,,,,
2021-03-17 16:45:00,151.812,151.845,151.804,151.822,625.0,,,,,,,,,,,,,,,,,,
2021-03-17 16:50:00,151.822,151.845,151.754,151.77,545.0,,,,,,,,,,,,,,,,,,
2021-03-17 16:55:00,151.77,151.809,151.727,151.734,563.0,,,,,,,,,,,,,,,,,,
2021-03-17 17:00:00,151.733,151.748,151.668,151.694,922.0,151.733,151.821,151.668,151.817,8978.0,,,,,,,,,,,,,
2021-03-17 17:05:00,151.693,151.72,151.684,151.698,627.0,,,,,,,,,,,,,,,,,,
2021-03-17 17:10:00,151.699,151.731,151.677,151.715,721.0,,,,,,,,,,,,,,,,,,
2021-03-17 17:15:00,151.711,151.729,151.705,151.717,535.0,,,,,,,,,,,,,,,,,,
2021-03-17 17:20:00,151.715,151.733,151.686,151.716,790.0,,,,,,,,,,,,,,,,,,
2021-03-17 17:25:00,151.717,151.753,151.708,151.73,572.0,,,,,,,,,,,,,,,,,,
2021-03-17 17:30:00,151.73,151.751,151.713,151.724,821.0,,,,,,,,,,,,,,,,,,
2021-03-17 17:35:00,151.726,151.749,151.673,151.725,851.0,,,,,,,,,,,,,,,,,,
2021-03-17 17:40:00,151.725,151.804,151.719,151.778,767.0,,,,,,,,,,,,,,,,,,
2021-03-17 17:45:00,151.782,151.808,151.758,151.788,853.0,,,,,,,,,,,,,,,,,,
2021-03-17 17:50:00,151.787,151.815,151.786,151.809,790.0,,,,,,,,,,,,,,,,,,
2021-03-17 17:55:00,151.809,151.821,151.797,151.817,729.0,,,,,,,,,,,,,,,,,,
2021-03-17 18:00:00,151.818,151.838,151.76,151.762,1088.0,151.818,151.85,151.713,151.761,9341.0,,,,,,,,,,,,,
2021-03-17 18:05:00,151.758,151.766,151.74,151.755,649.0,,,,,,,,,,,,,,,,,,
2021-03-17 18:10:00,151.756,151.796,151.739,151.762,595.0,,,,,,,,,,,,,,,,,,
2021-03-17 18:15:00,151.762,151.777,151.743,151.75,700.0,,,,,,,,,,,,,,,,,,
2021-03-17 18:20:00,151.751,151.774,151.745,151.756,727.0,,,,,,,,,,,,,,,,,,
2021-03-17 18:25:00,151.759,151.796,151.752,151.779,618.0,,,,,,,,,,,,,,,,,,
2021-03-17 18:30:00,151.774,151.786,151.727,151.754,968.0,,,,,,,,,,,,,,,,,,
2021-03-17 18:35:00,151.755,151.807,151.755,151.807,921.0,,,,,,,,,,,,,,,,,,
2021-03-17 18:40:00,151.807,151.85,151.79,151.814,732.0,,,,,,,,,,,,,,,,,,
2021-03-17 18:45:00,151.818,151.82,151.765,151.786,663.0,,,,,,,,,,,,,,,,,,
2021-03-17 18:50:00,151.783,151.786,151.738,151.781,833.0,,,,,,,,,,,,,,,,,,
2021-03-17 18:55:00,151.781,151.781,151.713,151.761,847.0,,,,,,,,,,,,,,,,,,
2021-03-17 19:00:00,151.761,151.814,151.753,151.797,1205.0,151.761,151.837,151.485,151.615,9789.0,,,,,,,,,,,,False,False
2021-03-17 19:05:00,151.796,151.798,151.746,151.763,776.0,,,,,,,,,,,,,,,,,False,False
2021-03-17 19:10:00,151.763,151.811,151.763,151.794,772.0,,,,,,,,,,,,,,,,,False,False
2021-03-17 19:15:00,151.794,151.837,151.792,151.798,777.0,,,,,,,,,,,,,,,,,False,False
2021-03-17 19:20:00,151.798,151.809,151.739,151.771,764.0,,,,,,,,,,,,,,,,,False,False
2021-03-17 19:25:00,151.772,151.794,151.716,151.737,829.0,,,,,,,,,,,,,,,,,False,False
