,score,sampleSize,ohlcData,timePeriod,length
0,0.458041958041958,286,o,1d,10
1,0.41847826086956524,184,o,1d,20
2,0.4444444444444444,162,o,1d,30
3,0.42953020134228187,149,o,1d,40
4,0.4088050314465409,159,o,1d,50
5,0.48466257668711654,163,o,1d,60
6,0.4507042253521127,142,o,1d,70
7,0.4117647058823529,136,o,1d,80
8,0.4244604316546763,139,o,1d,90
9,0.44881889763779526,127,o,1d,100
10,0.38738738738738737,111,o,1d,110
11,0.4020618556701031,97,o,1d,120
12,0.43373493975903615,83,o,1d,130
13,0.375,72,o,1d,140
14,0.38333333333333336,60,o,1d,150
15,0.46551724137931033,58,o,1d,160
16,0.4642857142857143,56,o,1d,170
17,0.49056603773584906,53,o,1d,180
18,0.5333333333333333,45,o,1d,190
19,0.5405405405405406,37,o,1d,200
20,0.4297752808988764,1068,o,1h,10
21,0.4476409666283084,869,o,1h,20
22,0.44650499286733236,701,o,1h,30
23,0.4684385382059801,602,o,1h,40
24,0.4854368932038835,515,o,1h,50
25,0.48590021691973967,461,o,1h,60
26,0.47058823529411764,425,o,1h,70
27,0.45569620253164556,395,o,1h,80
28,0.4486486486486487,370,o,1h,90
29,0.46089385474860334,358,o,1h,100
30,0.4604105571847507,341,o,1h,110
31,0.44970414201183434,338,o,1h,120
32,0.425531914893617,329,o,1h,130
33,0.41455696202531644,316,o,1h,140
34,0.41533546325878595,313,o,1h,150
35,0.4037854889589905,317,o,1h,160
36,0.37209302325581395,301,o,1h,170
37,0.4080267558528428,299,o,1h,180
38,0.4523809523809524,294,o,1h,190
39,0.44280442804428044,271,o,1h,200
40,0.4528985507246377,276,h,1d,10
41,0.4690721649484536,194,h,1d,20
42,0.42592592592592593,162,h,1d,30
43,0.3779527559055118,127,h,1d,40
44,0.41509433962264153,106,h,1d,50
45,0.49206349206349204,126,h,1d,60
46,0.5,140,h,1d,70
47,0.4230769230769231,130,h,1d,80
48,0.43478260869565216,115,h,1d,90
49,0.40816326530612246,98,h,1d,100
50,0.41836734693877553,98,h,1d,110
51,0.4948453608247423,97,h,1d,120
52,0.5,80,h,1d,130
53,0.44776119402985076,67,h,1d,140
54,0.45588235294117646,68,h,1d,150
55,0.5161290322580645,62,h,1d,160
56,0.5238095238095238,63,h,1d,170
57,0.4807692307692308,52,h,1d,180
58,0.39215686274509803,51,h,1d,190
59,0.3620689655172414,58,h,1d,200
60,0.49849548645937813,997,h,1h,10
61,0.4795180722891566,830,h,1h,20
62,0.4578804347826087,736,h,1h,30
63,0.4364820846905538,614,h,1h,40
64,0.4540540540540541,555,h,1h,50
65,0.4575569358178054,483,h,1h,60
66,0.4880174291938998,459,h,1h,70
67,0.4942263279445728,433,h,1h,80
68,0.46078431372549017,408,h,1h,90
69,0.43669250645994834,387,h,1h,100
70,0.4297082228116711,377,h,1h,110
71,0.42011834319526625,338,h,1h,120
